"CITATIONS","TECTONIC SETTING","LOCATION","LOCATION COMMENT","LATITUDE MIN","LATITUDE MAX","LONGITUDE MIN","LONGITUDE MAX","LAND OR SEA","ELEVATION MIN","ELEVATION MAX","SAMPLE NAME","ROCK NAME","MIN. AGE (YRS.)","MAX. AGE (YRS.)","GEOL.","AGE","ERUPTION DAY","ERUPTION MONTH","ERUPTION YEAR","ROCK TEXTURE","ROCK TYPE","DRILL DEPTH MIN","DRILL DEPTHAX","ALTERATION","MINERAL","MATERIAL","SIO2(WT%)","TIO2(WT%)","B2O3(WT%)","AL2O3(WT%)","CR2O3(WT%)","FE2O3(WT%)","FEO(WT%)","FEOT(WT%)","CAO(WT%)","MGO(WT%)","MNO(WT%)","NIO(WT%)","K2O(WT%)","NA2O(WT%)","P2O5(WT%)","H2O(WT%)","H2OP(WT%)","H2OM(WT%)","H2OT(WT%)","CO2(WT%)","CO1(WT%)","F(WT%)","CL(WT%)","CL2(WT%)","OH(WT%)","CH4(WT%)","SO2(WT%)","SO3(WT%)","SO4(WT%)","S(WT%)","LOI(WT%)","VOLATILES(WT%)","O(WT%)","OTHERS(WT%)","HE(CCM/G)","HE(CCMSTP/G)","HE3(CCMSTP/G)","HE3(AT/G)","HE4(CCM/G)","HE4(CCMSTP/G)","HE4(AT/G)","HE4(MOLE/G)","HE4(NCC/G)","HE(NCC/G)","LI(PPM)","BE(PPM)","B(PPM)","C(PPM)","CO2(PPM)","F(PPM)","NA(PPM)","MG(PPM)","AL(PPM)","P(PPM)","S(PPM)","CL(PPM)","K(PPM)","CA(PPM)","SC(PPM)","TI(PPM)","V(PPM)","CR(PPM)","MN(PPM)","FE(PPM)","CO(PPM)","NI(PPM)","CU(PPM)","ZN(PPM)","GA(PPM)","GE(PPM)","AS(PPM)","SE(PPM)","BR(PPM)","RB(PPM)","SR(PPM)","Y(PPM)","ZR(PPM)","NB(PPM)","MO(PPM)","RU(PPM)","RH(PPM)","PD(PPM)","AG(PPM)","CD(PPM)","IN(PPM)","SN(PPM)","SB(PPM)","TE(PPM)","I(PPM)","CS(PPM)","BA(PPM)","LA(PPM)","CE(PPM)","PR(PPM)","ND(PPM)","SM(PPM)","EU(PPM)","GD(PPM)","TB(PPM)","DY(PPM)","HO(PPM)","ER(PPM)","TM(PPM)","YB(PPM)","LU(PPM)","HF(PPM)","TA(PPM)","W(PPM)","RE(PPM)","OS(PPM)","IR(PPM)","PT(PPM)","AU(PPM)","HG(PPM)","TL(PPM)","PB(PPM)","BI(PPM)","TH(PPM)","U(PPM)","ND143_ND144","ND143_ND144_INI","EPSILON_ND","SR87_SR86","SR87_SR86_INI","PB206_PB204","PB206_PB204_INI","PB207_PB204","PB207_PB204_INI","PB208_PB204","PB208_PB204_INI","OS184_OS188","OS186_OS188","OS187_OS186","OS187_OS188","RE187_OS186","RE187_OS188","HF176_HF177","HE3_HE4","HE3_HE4(R/R(A))","HE4_HE3","HE4_HE3(R/R(A))","K40_AR40","AR40_K40","UNIQUE_ID",
"[4796]","OCEAN ISLAND","GALAPAGOS ISLANDS / FERNANDINA (NARBOROUGH)","EAST WALL","-0.34","-0.34","-91.47","-91.47","SAE","","","s_91-C [4796]","THOLEIITE [4796]","","","","","","","1991","PLAGIOCLASE-PHYRIC [4796] ","VOL","","","","","GL [4796] ","48.71","3.57","","14.27","","","12.67","","10.8","5.99","0.18","","0.51","2.97","0.43","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","105119",
"[4796]","OCEAN ISLAND","GALAPAGOS ISLANDS / FERNANDINA (NARBOROUGH)","EAST WALL","-0.34","-0.34","-91.47","-91.47","SAE","","","s_91-D [4796]","THOLEIITE [4796]","","","","","","","1991","PLAGIOCLASE-PHYRIC [4796] ","VOL","","","","","GL [4796] ","48.54","3.63","","14.09","","","12.62","","10.92","6.07","0.18","","0.52","2.95","0.38","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","105120",
"[4796]","OCEAN ISLAND","GALAPAGOS ISLANDS / FERNANDINA (NARBOROUGH)","SW FLANK, CABO HAMMOND","-0.34","-0.34","-91.47","-91.47","SAE","","","s_FV1 [4796]","THOLEIITE [4796]","","","","","","","1995","PLAGIOCLASE-PHYRIC [4796] ","VOL","","","","","GL [4796] ","49.14","3.87","","13.78","","","12.66","","10.95","5.5","0.26","","0.59","2.95","0.37","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","105121",
"[4796]","OCEAN ISLAND","GALAPAGOS ISLANDS / FERNANDINA (NARBOROUGH)","CALDERA INTERIOR, WNW CALDERA RIM","-0.34","-0.34","-91.47","-91.47","SAE","","","s_F145 [4796]","THOLEIITE [4796]","","","","","","","1968","PLAGIOCLASE-PHYRIC [4796] ","VOL","","","","","WR [4796] ","48.26","2.95","","15.31","","5.18","6.34","10.74","11.81","6.06","0.18","","0.38","2.71","0.27","","0.2","0","","","","","","","","","","","","","-0.25","","","","","","","","","","","","","","","","","","","","","","","","","","","","35.3","","350","116","","","47","53","90","89","","","","","","7","317","27","141","","","","","","","","","","","","","","90","12.7","32.1","","","5.26","1.83","","0.94","","","","","2.33","0.34","4.48","2.28","","","","","","","","","","","1.04","","","","","","","","","","","","","","","","","","","","","","","","","","105162",
"[4796]","OCEAN ISLAND","GALAPAGOS ISLANDS / FERNANDINA (NARBOROUGH)","CALDERA INTERIOR, WNW CALDERA WALL","-0.34","-0.34","-91.47","-91.47","SAE","1275","1275","s_F381 [4796]","THOLEIITE [4796]","","","","","","","","PLAGIOCLASE-PHYRIC [4796] ","VOL","","","","","WR [4796] ","48.21","3.28","","14.04","","","","11.25","11.13","6.2","0.18","","0.51","2.77","0.34","","","","","","","","","","","","","","","","-0.54","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","392","151","","","","57","88","108","","","","","","9","316","32","181","","","","","","","","","","","","","","98","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","105163",
"[4796]","OCEAN ISLAND","GALAPAGOS ISLANDS / FERNANDINA (NARBOROUGH)","CALDERA INTERIOR, CIRCUMFERENTIAL DIKE","-0.34","-0.34","-91.47","-91.47","SAE","1185","1185","s_F356 [4796]","THOLEIITE [4796]","","","","","","","","PLAGIOCLASE-PHYRIC [4796] ","VOL","","","","","WR [4796] ","48.57","3.16","","13.86","","","","11.18","11.33","6.57","0.18","","0.42","2.62","0.3","","","","","","","","","","","","","","","","-0.53","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","398","152","","","","71","104","114","","","","","","7","299","29","163","","","","","","","","","","","","","","114","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","105164",
"[4796]","OCEAN ISLAND","GALAPAGOS ISLANDS / FERNANDINA (NARBOROUGH)","CALDERA INTERIOR, NEAR NW CALDERA RIM","-0.34","-0.34","-91.47","-91.47","SAE","","","s_F112 [4796]","THOLEIITE [4796]","","","","","","","","PLAGIOCLASE-PHYRIC [4796] ","VOL","","","","","WR [4796] ","47.62","3.44","","13.92","","","","11.72","10.96","6.18","0.19","","0.51","2.79","0.34","","","","","","","","","","","","","","","","-0.25","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","408","179","","","","54","94","117","","","","","","8","311","34","189","","","","","","","","","","","","","","129","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","105165",
"[4796]","OCEAN ISLAND","GALAPAGOS ISLANDS / FERNANDINA (NARBOROUGH)","CALDERA INTERIOR AT EXTREME ME END OF SE BENCH","-0.34","-0.34","-91.47","-91.47","SAE","","","s_F3N8 [4796]","THOLEIITE [4796]","","","","","","","","PLAGIOCLASE-PHYRIC [4796] ","VOL","","","","","WR [4796] ","48.15","3.62","","13.88","","","","12.02","10.57","5.85","0.19","","0.56","2.9","0.39","","","","","","","","","","","","","","","","-0.38","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","409","135","","","","49","92","119","","","","","","10","315","36","205","","","","","","","","","","","","","","146","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","105166",
"[4796]","OCEAN ISLAND","GALAPAGOS ISLANDS / FERNANDINA (NARBOROUGH)","CALDERA INTERIOR, ENTERING PLAYA ON NW","-0.34","-0.34","-91.47","-91.47","SAE","","","s_F363 [4796]","NOT GIVEN [4796]","","","","","","","","","VOL","","","","","GL [4796] ","47.67","3.23","","15.06","","1.29","10.29","10.98","11.04","5.83","0.17","","0.49","2.85","0.33","","0.15","0.02","","","","","","","","","","","","","-0.7","","","","","","","","","","","","","","","","","","","","","","","","","","","","32.4","","386","190","","","","51","87","113","","","","","","8","324","32","181","","","","","","","","","","","","","","120","15.8","37.1","","","6.18","2.03","","0.85","","","","","2.58","0.33","4.68","","","","","","","","","","","","1.16","","","","","","","","","","","","","","","","","","","","","","","","","","105167",
"[4796]","OCEAN ISLAND","GALAPAGOS ISLANDS / FERNANDINA (NARBOROUGH)","CALDERA INTERIOR, BLOCK DISLODGED FROM CALDERA WALL","-0.34","-0.34","-91.47","-91.47","SAE","","","s_F425 [4796]","THOLEIITE [4796]","","","","","","","","PLAGIOCLASE-PHYRIC [4796] ","VOL","","","","","WR [4796] ","47.36","1.97","","16.34","","8.86","1.62","9.34","12.04","7.93","0.15","","0.27","2.36","0.16","","0.24","0","","","","","","","","","","","","","0.46","","","","","","","","","","","","","","","","","","","","","","","","","","","","30.3","","239","266","","","56.8","99","45","72","","","","","","5","322","17","89","","","","","","","","","","","","","","67","7.3","17.7","","","2.93","1.22","","0.5","","","","","1.41","0.19","2.17","1.15","","","","","","","","","","","0.6","0.11","","","","","","","","","","","","","","","","","","","","","","","","","105168",
"[4796]","OCEAN ISLAND","GALAPAGOS ISLANDS / FERNANDINA (NARBOROUGH)","CALDERA INTERIOR, PLATFORM ON WNW RIM","-0.34","-0.34","-91.47","-91.47","SAE","1280","1280","s_F3N3A [4796]","THOLEIITE [4796]","","","","","","","","PLAGIOCLASE-PHYRIC [4796] ","VOL","","","","","WR [4796] ","43.48","4.85","","11.42","","","","13.5","10.27","5.34","0.23","","0.5","2.78","0.34","","","","","","","","","","","","","","","","-0.36","","","","","","","","","","","","","","","","","","","","","","","","","","","","38.5","","572","49","","","50.4","44","100","142","","","","","","9","279","35","200","","","","","","","","","","","","","","120","17.4","42.1","","","6.79","2.4","","1.13","","","","","3.19","0.45","5.73","2.1","","","","","","","","","","","1.81","0.4","","","","","","","","","","","","","","","","","","","","","","","","","105169",
"[4796]","OCEAN ISLAND","GALAPAGOS ISLANDS / FERNANDINA (NARBOROUGH)","CALDERA INTERIOR, SOTH CALDERA WALL FLOW","-0.34","-0.34","-91.47","-91.47","SAE","","","s_F89-1 [4796]","THOLEIITE [4796]","","","","","","","","PLAGIOCLASE-PHYRIC [4796] ","VOL","","","","","WR [4796] ","48.15","3.11","","16.51","","","","10.45","11.73","5.55","0.17","","0.47","2.89","0.37","","","","","","","","","","","","","","","","-0.61","","","","","","","","","","","","","","","","","","","","","","","","","","","","33.1","","345","152","","","38.8","49","83","91","","","","","","8","340","29","170","","","","","","","","","","","","","","99","14.6","37.9","","","5.71","1.89","","0.97","","","","","2.45","0.37","4.13","1.61","","","","","","","","","","","1.45","0.37","","","","","","","","","","","","","","","","","","","","","","","","","105171",
"[4796]","OCEAN ISLAND","GALAPAGOS ISLANDS / FERNANDINA (NARBOROUGH)","EAST FLANK","-0.34","-0.34","-91.47","-91.47","SAE","628","628","s_F006 [4796]","THOLEIITE [4796]","","","","","","","","PLAGIOCLASE-PHYRIC [4796] ","VOL","","","","","WR [4796] ","48.34","3.38","","15.02","","3.99","8.12","11.32","10.97","5.81","0.18","","0.54","2.81","0.36","","0.31","0","","","","","","","","","","","","","-0.36","","","","","","","","","","","","","","","","","","","","","","","","","","","","32.8","","351","142","","","49.6","48","90","112","","","","","","9","331","33","201","","","","","","","","","","","","","","114","17.5","40.6","","","6.7","2.14","","1.05","","","","","2.56","0.37","5.12","4.83","","","","","","","","","","","1.5","","","","","","","","","","","","","","","","","","","","","","","","","","105172",
"[4796]","OCEAN ISLAND","GALAPAGOS ISLANDS / FERNANDINA (NARBOROUGH)","PUNTA MANGLE","-0.34","-0.34","-91.47","-91.47","SAE","","","s_FH51A [4796]","THOLEIITE [4796]","","","","","","","","PLAGIOCLASE-PHYRIC [4796] ","VOL","","","","","WR [4796] ","47.73","2.93","","15.84","","","","10.56","11.84","5.98","0.17","","0.43","2.64","0.3","","","","","","","","","","","","","","","","-0.23","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","352","195","","","","61","90","99","","","","","","8","234","29","164","","","","","","","","","","","","","","101","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","105173",
"[4796]","OCEAN ISLAND","GALAPAGOS ISLANDS / FERNANDINA (NARBOROUGH)","CABO HAMMOND","-0.34","-0.34","-91.47","-91.47","SAE","","","s_F148 [4796]","THOLEIITE [4796]","","","","","","","","PLAGIOCLASE-PHYRIC [4796] ","VOL","","","","","WR [4796] ","49.05","2.59","","16.39","","2.7","7.1","9.85","12.38","6.71","0.16","","0.35","2.44","0.25","","0.28","0","","","","","","","","","","","","","-0.1","","","","","","","","","","","","","","","","","","","","","","","","","","","","32.7","","313","312","","","40.7","88","97","100","","","","","","5","354","26","158","","","","","","","","","","","","","","91","11.7","28.7","","","4.56","1.58","","0.76","","","","","2.01","0.28","3.58","1.16","","","","","","","","","","","0.96","0.3","","","","","","","","","","","","","","","","","","","","","","","","","105174",
"[4796]","OCEAN ISLAND","GALAPAGOS ISLANDS / FERNANDINA (NARBOROUGH)","USN TRIANGULATION STATION BORO","-0.34","-0.34","-91.47","-91.47","SAE","","","s_F438 [4796]","THOLEIITE [4796]","","","","","","","1825","PLAGIOCLASE-PHYRIC [4796] ","VOL","","","","","WR [4796] ","47.91","3.26","","15.32","","3.04","8.62","11.07","11.16","5.82","0.18","","0.52","2.87","0.33","","0.2","0","","","","","","","","","","","","","-0.51","","","","","","","","","","","","","","","","","","","","","","","","","","","","33.1","","369","174","","","42.4","51","86","110","","","","","","8","336","32","187","","","","","","","","","","","","","","110","17.2","41.1","","","6.45","2.13","","1.03","","","","","2.79","0.38","5.02","1.63","","","","","","","","","","","1.7","0.49","","","","","","","","","","","","","","","","","","","","","","","","","105175",
"[4796]","OCEAN ISLAND","GALAPAGOS ISLANDS / FERNANDINA (NARBOROUGH)","BELOW EAST PLAYA EXIT, CALDERA FLOOR","-0.34","-0.34","-91.47","-91.47","SAE","","","s_F004 [4796]","THOLEIITE [4796]","","","","","","","1958","PLAGIOCLASE-PHYRIC [4796] ","VOL","","","","","WR [4796] ","47.86","3.49","","14.07","","2.14","10.2","11.79","10.91","6.09","0.19","","0.53","3.01","0.35","","0.25","0","","","","","","","","","","","","","-0.71","","","","","","","","","","","","","","","","","","","","","","","","","","","","35.7","","379","165","","","43.9","44","88","109","","","","","","9","308","33","189","","","","","","","","","","","","","","125","17.3","40.8","","","6.82","2.21","","1.01","","","","","2.76","0.37","5.33","1.68","","","","","","","","","","","1.44","","","","","","","","","","","","","","","","","","","","","","","","","","105176",
"[4796]","OCEAN ISLAND","GALAPAGOS ISLANDS / FERNANDINA (NARBOROUGH)","SE BENCH","-0.34","-0.34","-91.47","-91.47","SAE","","","s_F3N9 [4796]","THOLEIITE [4796]","","","","","","","1958","PLAGIOCLASE-PHYRIC [4796] ","VOL","","","","","WR [4796] ","48.46","3.54","","14.19","","","","11.94","10.9","6.09","0.19","","0.54","2.97","0.36","","","","","","","","","","","","","","","","-0.71","","","","","","","","","","","","","","","","","","","","","","","","","","","","36.4","","400","169","","","44.9","46","89","115","","","","","","9","307","34","195","","","","","","","","","","","","","","117","18.1","43.8","","","6.53","2.3","","1.14","","","","","2.9","0.41","5.23","1.7","","","","","","","","","","","1.56","0.47","","","","","","","","","","","","","","","","","","","","","","","","","105177",
"[4796]","OCEAN ISLAND","GALAPAGOS ISLANDS / FERNANDINA (NARBOROUGH)","17 M BELOW EAST PLAYA EXIT","-0.34","-0.34","-91.47","-91.47","SAE","","","s_F418 [4796]","THOLEIITE [4796]","","","","","","","1958","PLAGIOCLASE-PHYRIC [4796] ","VOL","","","","","WR [4796] ","48.23","3.22","","15.33","","2.15","9.51","11.08","11.24","5.85","0.18","","0.51","2.9","0.36","","0.18","0","","","","","","","","","","","","","-0.3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","336","172","","","","47","83","108","","","","","","9","332","32","189","","","","","","","","","","","","","","117","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","105178",
"[4796]","OCEAN ISLAND","GALAPAGOS ISLANDS / FERNANDINA (NARBOROUGH)","17 M BELOW EAST PLAYA EXIT","-0.34","-0.34","-91.47","-91.47","SAE","","","s_F364 [4796]","THOLEIITE [4796]","","","","","","","1958","PLAGIOCLASE-PHYRIC [4796] ","VOL","","","","","WR [4796] ","47.72","3.06","","15.49","","1.67","9.61","10.73","11.17","6.03","0.17","","0.47","2.98","0.3","","0.1","0.08","","","","","","","","","","","","","-0.18","","","","","","","","","","","","","","","","","","","","","","","","","","","","32.3","","353","195","","","41.1","51","81","103","","","","","","8","331","29","173","","","","","","","","","","","","","","116","14.9","36.1","","","5.75","1.92","","0.92","","","","","2.49","0.35","4.55","1.44","","","","","","","","","","","1.34","0.31","0.512991","","","0.703281","","18.905","","15.523","","38.477","","","","","","","","","","","","","","","105179",
